datetime,open,close,high,low,volume_shares,volume_lot,amount,amplitude_pct,code,name
2026-04-28 09:30:00,1402.0,1400.5,1402.0,1400.5,53700.0,537.0,75206850.0,0.1071046054980318,600519,贵州茅台
2026-04-28 09:32:00,1400.43994140625,1405.5799560546875,1405.5799560546875,1400.3499755859375,104396.0,1043.96,146736925.09228516,0.37347667082734404,600519,贵州茅台
2026-04-28 09:34:00,1405.780029296875,1405.5899658203125,1406.989990234375,1403.5,88780.0,887.8,124788277.16552734,0.24866335834521358,600519,贵州茅台
2026-04-28 09:36:00,1404.7900390625,1403.949951171875,1405.6099853515625,1403.18994140625,43600.0,436.0,61212217.87109375,0.17246730994144865,600519,贵州茅台
2026-04-28 09:38:00,1404.0,1405.0,1405.6300048828125,1404.0,54520.0,545.2,76600600.0,0.11609721387553229,600519,贵州茅台
2026-04-28 09:40:00,1404.77001953125,1406.0,1406.0999755859375,1404.050048828125,47487.0,474.87,66766722.0,0.14600097478885132,600519,贵州茅台
2026-04-28 09:42:00,1406.75,1407.300048828125,1409.300048828125,1406.75,119320.0,1193.2,167919041.82617188,0.1812723531633198,600519,贵州茅台
2026-04-28 09:44:00,1407.2900390625,1407.75,1408.5,1407.0,72221.0,722.21,101669112.75,0.10660980810235365,600519,贵州茅台
2026-04-28 09:46:00,1407.75,1406.280029296875,1408.0,1405.8900146484375,49500.0,495.0,69610861.45019531,0.15008182216089683,600519,贵州茅台
2026-04-28 09:48:00,1405.800048828125,1405.780029296875,1405.800048828125,1405.1099853515625,36300.0,363.0,51029815.06347656,0.04911099371269767,600519,贵州茅台
2026-04-28 09:50:00,1405.800048828125,1405.18994140625,1405.8900146484375,1404.5999755859375,49980.0,499.8,70231393.27148438,0.0918438761870144,600519,贵州茅台
2026-04-28 09:52:00,1405.800048828125,1405.77001953125,1405.8299560546875,1405.1500244140625,21104.0,211.04,29667370.4921875,0.04838854419892957,600519,贵州茅台
2026-04-28 09:54:00,1405.6800537109375,1404.9000244140625,1405.75,1404.9000244140625,47736.0,477.36,67064307.56542969,0.06050078803949699,600519,贵州茅台
2026-04-28 09:56:00,1404.9300537109375,1404.72998046875,1405.239990234375,1404.550048828125,38344.0,383.44,53862966.37109375,0.049121881190750116,600519,贵州茅台
2026-04-28 09:58:00,1404.5999755859375,1405.9300537109375,1406.010009765625,1404.5999755859375,50080.0,500.8,70408977.08984375,0.10038688624491865,600519,贵州茅台
2026-04-28 10:00:00,1405.9599609375,1405.8699951171875,1406.0,1405.2900390625,51715.0,517.15,72704566.79748535,0.050520598436287756,600519,贵州茅台
2026-04-28 10:02:00,1405.780029296875,1407.969970703125,1408.0,1405.219970703125,68336.0,683.36,96215035.91796875,0.197835880135111,600519,贵州茅台
2026-04-28 10:04:00,1408.0,1407.93994140625,1408.1600341796875,1406.969970703125,74513.0,745.13,104909828.8540039,0.08458343115651523,600519,贵州茅台
2026-04-28 10:06:00,1408.0,1408.52001953125,1409.0,1407.68994140625,55770.0,557.7,78553161.48925781,0.09306442812551108,600519,贵州茅台
2026-04-28 10:08:00,1408.1800537109375,1406.22998046875,1408.1800537109375,1406.199951171875,41060.0,410.6,57739802.998046875,0.14081230321565386,600519,贵州茅台
2026-04-28 10:10:00,1406.52001953125,1404.8800048828125,1406.52001953125,1404.780029296875,32480.0,324.8,45630502.55859375,0.12386211350441378,600519,贵州茅台
2026-04-28 10:12:00,1404.7900390625,1404.0,1404.800048828125,1404.0,33245.0,332.45,46675980.0,0.05698353476673024,600519,贵州茅台
2026-04-28 10:14:00,1404.0,1402.9200439453125,1404.0,1402.7900390625,46537.0,465.37,65287690.08508301,0.08625388716823057,600519,贵州茅台
2026-04-28 10:16:00,1402.9200439453125,1403.4300537109375,1403.8699951171875,1402.9200439453125,17200.0,172.0,24138996.923828125,0.06771242423790902,600519,贵州茅台
2026-04-28 10:18:00,1403.3199462890625,1403.0,1403.4300537109375,1403.0,22950.0,229.5,32198850.0,0.030652438413225624,600519,贵州茅台
2026-04-28 10:20:00,1403.0,1402.800048828125,1403.0999755859375,1402.800048828125,23250.0,232.5,32615101.135253906,0.02138057794216497,600519,贵州茅台
2026-04-28 10:22:00,1402.800048828125,1402.5,1402.8499755859375,1402.5,27500.0,275.0,38568750.0,0.024953695967022682,600519,贵州茅台
2026-04-28 10:24:00,1402.510009765625,1402.4200439453125,1402.5699462890625,1402.3800048828125,22100.0,221.0,30993482.971191406,0.013544218085592696,600519,贵州茅台
2026-04-28 10:26:00,1402.4000244140625,1403.0,1403.030029296875,1402.3599853515625,27550.0,275.5,38652650.0,0.047779739318820624,600519,贵州茅台
2026-04-28 10:28:00,1402.9599609375,1402.56005859375,1402.9599609375,1402.5,27200.0,272.0,38149633.59375,0.03279578877004585,600519,贵州茅台
2026-04-28 10:30:00,1402.5,1402.280029296875,1402.5999755859375,1402.280029296875,25300.0,253.0,35477684.74121094,0.02281614815715649,600519,贵州茅台
2026-04-28 10:32:00,1402.3299560546875,1402.3900146484375,1402.56005859375,1402.219970703125,20700.0,207.0,29029473.303222656,0.024253533520446346,600519,贵州茅台
2026-04-28 10:34:00,1402.300048828125,1402.3599853515625,1402.489990234375,1402.25,14700.0,147.0,20614691.78466797,0.01711465390443756,600519,贵州茅台
2026-04-28 10:36:00,1402.3800048828125,1402.3699951171875,1402.47998046875,1402.3599853515625,17368.0,173.68,24356362.075195312,0.008556655811697844,600519,贵州茅台
2026-04-28 10:38:00,1402.43994140625,1402.2099609375,1402.6099853515625,1402.2099609375,33373.0,333.73,46795953.02636719,0.028528139523054108,600519,贵州茅台
2026-04-28 10:40:00,1402.1099853515625,1401.050048828125,1402.1099853515625,1401.050048828125,62800.0,628.0,87985943.06640625,0.07565300927858676,600519,贵州茅台
2026-04-28 10:42:00,1401.06005859375,1401.18994140625,1401.18994140625,1401.0,42930.0,429.3,60153084.18457031,0.013557559332610936,600519,贵州茅台
2026-04-28 10:44:00,1401.18994140625,1401.030029296875,1401.280029296875,1401.0,17436.0,174.36,24428359.590820312,0.019987815622779515,600519,贵州茅台
2026-04-28 10:46:00,1401.02001953125,1401.010009765625,1401.6300048828125,1401.0,23236.0,232.36,32553868.586914062,0.04496822860902139,600519,贵州茅台
2026-04-28 10:48:00,1401.010009765625,1401.02001953125,1401.2900390625,1401.0,18575.0,185.75,26023946.86279297,0.020702288543894554,600519,贵州茅台
2026-04-28 10:50:00,1401.030029296875,1401.02001953125,1401.0400390625,1401.010009765625,17325.0,173.25,24272671.838378906,0.0021434034493506005,600519,贵州茅台
2026-04-28 10:52:00,1401.010009765625,1400.9000244140625,1401.010009765625,1400.8499755859375,45570.0,455.7,63839014.11254883,0.01142407698730974,600519,贵州茅台
2026-04-28 10:54:00,1400.9000244140625,1400.949951171875,1401.02001953125,1400.8599853515625,14816.0,148.16,20756474.4765625,0.011423995357207062,600519,贵州茅台
2026-04-28 10:56:00,1401.0,1400.9599609375,1401.0,1400.8900146484375,10400.0,104.0,14569983.59375,0.00785110539816003,600519,贵州茅台
2026-04-28 10:58:00,1400.9599609375,1400.8800048828125,1401.0,1400.8800048828125,13000.0,130.0,18211440.063476562,0.008565695617690494,600519,贵州茅台
2026-04-28 11:00:00,1401.0699462890625,1400.9100341796875,1401.0699462890625,1400.9000244140625,19300.0,193.0,27037563.65966797,0.01212947905193662,600519,贵州茅台
2026-04-28 11:02:00,1400.9100341796875,1400.9200439453125,1400.969970703125,1400.8900146484375,14800.0,148.0,20733616.650390625,0.005707518352715546,600519,贵州茅台
2026-04-28 11:04:00,1400.9100341796875,1400.969970703125,1400.969970703125,1400.8800048828125,15320.0,153.2,21462859.951171875,0.006422093255586958,600519,贵州茅台
2026-04-28 11:06:00,1400.8900146484375,1400.9200439453125,1400.93994140625,1400.8800048828125,21201.0,212.01,29700905.85168457,0.004278490893483422,600519,贵州茅台
2026-04-28 11:08:00,1400.9200439453125,1401.22998046875,1401.31005859375,1400.9200439453125,11916.0,119.16,16697056.447265625,0.027839893513070813,600519,贵州茅台
2026-04-28 11:10:00,1401.280029296875,1400.969970703125,1401.280029296875,1400.93994140625,15900.0,159.0,22275422.534179688,0.02427569380909489,600519,贵州茅台
2026-04-28 11:12:00,1400.949951171875,1401.030029296875,1401.0899658203125,1400.949951171875,10600.0,106.0,14850918.310546875,0.009994264842960732,600519,贵州茅台
2026-04-28 11:14:00,1401.0,1402.280029296875,1402.31005859375,1400.949951171875,15900.0,159.0,22296252.465820312,0.09708465464717264,600519,贵州茅台
2026-04-28 11:16:00,1402.1800537109375,1402.199951171875,1403.3299560546875,1402.1800537109375,14200.0,142.0,19911239.306640625,0.08200818009831412,600519,贵州茅台
2026-04-28 11:18:00,1402.1400146484375,1401.8900146484375,1402.1400146484375,1401.6600341796875,10254.0,102.54,14374980.210205078,0.034243715098214444,600519,贵州茅台
2026-04-28 11:20:00,1401.9000244140625,1401.989990234375,1401.989990234375,1401.8199462890625,6600.0,66.0,9253133.935546875,0.012130227263673632,600519,贵州茅台
2026-04-28 11:22:00,1401.969970703125,1401.4599609375,1401.969970703125,1401.4599609375,10400.0,104.0,14575183.59375,0.03639131904160653,600519,贵州茅台
2026-04-28 11:24:00,1401.530029296875,1401.010009765625,1402.6600341796875,1401.010009765625,16400.0,164.0,22976564.16015625,0.11777392042606749,600519,贵州茅台
2026-04-28 11:26:00,1401.010009765625,1401.06005859375,1401.6700439453125,1400.9300537109375,18720.0,187.2,26227844.296875,0.052821354814591714,600519,贵州茅台
2026-04-28 11:28:00,1401.010009765625,1401.0,1401.050048828125,1400.9000244140625,15400.0,154.0,21575400.0,0.010709144938814141,600519,贵州茅台
2026-04-28 11:30:00,1401.0,1401.0,1401.0,1401.0,100.0,1.0,140100.0,0.0,600519,贵州茅台
2026-04-28 13:00:00,1401.0,1401.0999755859375,1401.9300537109375,1401.0,48425.0,484.25,67848266.31774902,0.06638499007405319,600519,贵州茅台
2026-04-28 13:02:00,1401.1099853515625,1401.1099853515625,1401.1600341796875,1401.0999755859375,16700.0,167.0,23398536.755371094,0.0042865316391749175,600519,贵州茅台
2026-04-28 13:04:00,1401.1199951171875,1401.5,1402.1700439453125,1401.0799560546875,29900.0,299.0,41904850.0,0.07780340343277459,600519,贵州茅台
2026-04-28 13:06:00,1401.469970703125,1401.9599609375,1401.97998046875,1401.469970703125,18982.0,189.82,26612003.978515625,0.036391059122675706,600519,贵州茅台
2026-04-28 13:08:00,1401.9599609375,1402.030029296875,1402.030029296875,1401.81005859375,19700.0,197.0,27619991.577148438,0.015691905032100273,600519,贵州茅台
2026-04-28 13:10:00,1401.97998046875,1401.550048828125,1402.0,1401.3399658203125,17318.0,173.18,24272043.74560547,0.047100218061735255,600519,贵州茅台
2026-04-28 13:12:00,1401.6300048828125,1401.510009765625,1401.6300048828125,1401.510009765625,14500.0,145.0,20321895.141601562,0.00856184517779024,600519,贵州茅台
2026-04-28 13:14:00,1401.1600341796875,1401.02001953125,1401.4599609375,1401.0,38600.0,386.0,54079372.75390625,0.032830902034253207,600519,贵州茅台
2026-04-28 13:16:00,1400.989990234375,1401.0999755859375,1401.1400146484375,1400.97998046875,27400.0,274.0,38390139.33105469,0.011423016882372572,600519,贵州茅台
2026-04-28 13:18:00,1401.0999755859375,1401.8800048828125,1401.969970703125,1401.0799560546875,31182.0,311.82,43713422.31225586,0.0635234730602896,600519,贵州茅台
2026-04-28 13:20:00,1401.8800048828125,1401.5999755859375,1401.8800048828125,1401.5999755859375,16800.0,168.0,23546879.58984375,0.019979259542868277,600519,贵州茅台
