datetime,open,close,high,low,volume_shares,volume_lot,amount,amplitude_pct,code,name
2026-04-28 09:30:00,426.19000244140625,427.0199890136719,429.42999267578125,426.19000244140625,3803303.0,38033.03,1624086405.2756653,0.7602220173666518,300750,宁德时代
2026-04-28 09:32:00,427.0199890136719,423.6000061035156,427.8999938964844,423.6000061035156,1854948.0,18549.48,785755984.1217041,1.0151056966505312,300750,宁德时代
2026-04-28 09:34:00,423.6099853515625,425.1600036621094,425.2799987792969,423.5899963378906,1120101.0,11201.01,476222145.2619324,0.3989712826121927,300750,宁德时代
2026-04-28 09:36:00,425.1499938964844,424.6700134277344,426.0,424.510009765625,667700.0,6677.0,283552167.96569824,0.3509906009513397,300750,宁德时代
2026-04-28 09:38:00,424.6600036621094,425.7699890136719,426.2300109863281,424.3500061035156,854163.0,8541.63,363676971.125885,0.44303166154635587,300750,宁德时代
2026-04-28 09:40:00,425.79998779296875,428.04998779296875,428.29998779296875,425.79998779296875,741980.0,7419.8,317604529.94262695,0.5871301248640659,300750,宁德时代
2026-04-28 09:42:00,428.1000061035156,429.2799987792969,429.3999938964844,426.9800109863281,702100.0,7021.0,301397487.14294434,0.566767260267298,300750,宁德时代
2026-04-28 09:44:00,429.2799987792969,430.20001220703125,430.32000732421875,428.0899963378906,659800.0,6598.0,283845968.0541992,0.5209210692622701,300750,宁德时代
2026-04-28 09:46:00,430.239990234375,431.2200012207031,431.489990234375,430.1300048828125,600065.0,6000.65,258760030.03250122,0.3161800702401685,300750,宁德时代
2026-04-28 09:48:00,431.1099853515625,432.010009765625,432.2300109863281,430.6199951171875,506805.0,5068.05,218944832.99926758,0.3738832119726476,300750,宁德时代
2026-04-28 09:50:00,431.75,431.25,432.0400085449219,430.82000732421875,535796.0,5357.96,231062025.0,0.2831811893510672,300750,宁德时代
2026-04-28 09:52:00,430.989990234375,429.2799987792969,431.1499938964844,429.1099853515625,336244.0,3362.44,144342823.9095459,0.4754045849691746,300750,宁德时代
2026-04-28 09:54:00,429.30999755859375,429.9100036621094,430.17999267578125,429.2699890136719,305042.0,3050.42,131140607.33709717,0.2119886517574443,300750,宁德时代
2026-04-28 09:56:00,429.7699890136719,428.5299987792969,430.2699890136719,428.4599914550781,227918.0,2279.18,97669700.26177979,0.4224426071724574,300750,宁德时代
2026-04-28 09:58:00,428.4599914550781,428.1000061035156,428.4599914550781,427.79998779296875,236223.0,2362.23,101127067.74179077,0.15427856029504028,300750,宁德时代
2026-04-28 10:00:00,428.2799987792969,427.6600036621094,428.4700012207031,427.4100036621094,232600.0,2326.0,99473716.85180664,0.24800485470894973,300750,宁德时代
2026-04-28 10:02:00,427.5,427.2099914550781,427.5,426.9100036621094,295808.0,2958.08,126372133.15234375,0.13820157242265818,300750,宁德时代
2026-04-28 10:04:00,427.2900085449219,427.42999267578125,428.010009765625,427.239990234375,191000.0,1910.0,81639128.60107422,0.18023114615923763,300750,宁德时代
2026-04-28 10:06:00,427.4599914550781,427.6499938964844,428.0400085449219,427.0,290780.0,2907.8,124352065.22521973,0.24356172012220956,300750,宁德时代
2026-04-28 10:08:00,427.6600036621094,426.79998779296875,427.70001220703125,426.79998779296875,262700.0,2627.0,112120356.79321289,0.21087732891387212,300750,宁德时代
