股票,行业,总市值(亿),均值,标准差
贵州茅台,日常消费,23553.71,0.000941,0.019648
中国平安,金融,7988.47,0.00024,0.019458
长江电力,公用事业,5417.11,0.00048,0.012429
中国中免,可选消费,3705.8,0.000959,0.026699
恒瑞医药,医疗保健,2162.48,0.000628,0.021153
