节后首日,收益
2002-02-25,0.015681
2002-05-08,-0.008398
2002-10-08,-0.009935
2003-02-10,-0.014295
2003-05-12,0.00912
2003-10-08,0.003657
2004-01-29,0.021301
2004-05-10,-0.027087
2004-10-08,0.020168
2005-01-04,-0.01736
2005-02-16,0.006587
2005-05-09,-0.02523
2005-10-10,-0.011037
2006-01-04,0.019283
2006-02-06,0.023136
2006-05-08,0.038569
2006-10-09,0.023105
2007-01-04,0.012677
2007-02-26,0.011493
2007-05-08,0.035152
