code,name,time_n,volume_n,time_std,volume_std,std_ratio_volume_over_time,time_excess_kurtosis,volume_excess_kurtosis,time_jb_p,volume_jb_p,avg_equal_time_volume_lot,avg_equal_volume_bars
600519,贵州茅台,456,338,0.002117015051699415,0.0025292704662491093,1.1947342860027188,16.057469907244915,4.773881454188345,0.0,6.2963908619529075e-78,1976.7678070175439,6.683431952662722
601318,中国平安,456,351,0.0028461976046828532,0.003360292068886952,1.1806250076798106,7.83526233595531,2.2670627546707003,4.945405234889141e-268,9.734043742808346e-18,38125.13721491228,6.435897435897436
600036,招商银行,456,377,0.0012818740964753912,0.001338043046079357,1.0438178365242006,4.47986255853528,2.0094735132686967,8.60586272202456e-82,3.465766516842473e-16,37683.773092105264,5.989389920424403
600900,长江电力,456,342,0.0014918418018096049,0.0014673868265398465,0.9836075277954442,5.412065702652082,0.6496663363282509,1.556167854319719e-126,0.002748732336741575,46496.380328947365,6.599415204678363
601888,中国中免,456,327,0.0037077483636377014,0.003914736745407443,1.0558258979491972,11.704390278332554,2.696092919002215,0.0,1.5529799564178536e-21,13235.165701754386,6.89908256880734
000858,五粮液,457,240,0.0026884843161293593,0.0040999666711758476,1.5250104479235405,8.922553593596115,3.35132284232735,0.0,1.0115396090242646e-34,24657.76669584245,9.5375
002594,比亚迪,457,239,0.0024963557068065105,0.0035715367205446566,1.430700244683312,7.258831333324025,1.767039975270066,4.103977927245794e-217,1.1455058227864607e-08,30065.370459518603,9.585774058577407
000002,万科A,457,231,0.003987433545112564,0.0055777922552107916,1.3988426871834756,5.262941162676464,1.704764017022896,2.7883024799901324e-114,6.993755298683859e-10,89718.49829321663,9.926406926406926
300059,东方财富,457,172,0.004430648428405349,0.006921027671353038,1.562080084481903,24.730458940788587,0.8509060684386509,0.0,0.0027361253943754284,253451.00006564552,13.348837209302326
300750,宁德时代,457,229,0.004256326889589901,0.00566496697994902,1.3309520454841854,13.247232148905887,-0.1551782072149308,0.0,0.09466127489134346,22591.018555798688,10.004366812227074
