partition,code,name,n,mean,std,skew,excess_kurtosis,jarque_bera_stat,jarque_bera_p,ks_stat,ks_p,tail_prob_abs_gt_3sigma
等交易量,000002,万科A,231,-0.0004221473567955007,0.0055777922552107916,0.6530023584929028,1.704764017022896,42.161666558462706,6.993755298683859e-10,0.17979212482566398,5.266881128667151e-07,0.008658008658008658
等交易量,000858,五粮液,240,-0.00022688340552724136,0.0040999666711758476,1.1303699824668498,3.35132284232735,156.5528392524787,1.0115396090242646e-34,0.12979515374270656,0.0005512916572557567,0.020833333333333332
等交易量,002594,比亚迪,239,-0.00023776589936691303,0.0035715367205446566,0.43987511528237544,1.767039975270066,36.56966887574116,1.1455058227864607e-08,0.06755901521443664,0.2154464199849555,0.012552301255230125
等交易量,300059,东方财富,172,8.272144043044751e-05,0.006921027671353038,0.5094484097250128,0.8509060684386509,11.80242489798897,0.0027361253943754284,0.06406928458554662,0.46127002162555397,0.011627906976744186
等交易量,300750,宁德时代,229,-0.0007384893026420285,0.00566496697994902,0.3422793594743422,-0.1551782072149308,4.714900572968384,0.09466127489134346,0.08737371036848618,0.057027183259412584,0.0
等交易量,600036,招商银行,377,-4.866341808145962e-05,0.001338043046079357,0.40879727604995597,2.0094735132686967,71.19685532549155,3.465766516842473e-16,0.11636066026458369,6.64790213814993e-05,0.010610079575596816
等交易量,600519,贵州茅台,338,-0.00014063476982145918,0.0025292704662491093,0.9105536873020529,4.773881454188345,355.52332132670216,6.2963908619529075e-78,0.10104751049884853,0.0018585459551129179,0.020710059171597635
等交易量,600900,长江电力,342,-3.537519077830645e-05,0.0014673868265398465,0.3330579315596523,0.6496663363282509,11.793230884079776,0.002748732336741575,0.08250973290292629,0.017906963657499535,0.005847953216374269
等交易量,601318,中国平安,351,-0.0002510155531426039,0.003360292068886952,0.33226876426449986,2.2670627546707003,78.34180453735061,9.734043742808346e-18,0.08386535309357446,0.013501941833165382,0.022792022792022793
等交易量,601888,中国中免,327,-0.0004143258750575786,0.003914736745407443,0.14278655986888103,2.696092919002215,95.82822263030992,1.5529799564178536e-21,0.10185074512544046,0.0020904858106837363,0.01529051987767584
