code,name,date,order_shares,sigma_minute,gamma,open,close,intraday_return,market_twap,market_vwap,ac_avg_price,twap_avg_price,vwap_avg_price,ac_minus_twap_bps,ac_minus_vwap_bps,twap_minus_vwap_bps,ac_first_half_ratio,vwap_first_half_ratio
000002,万科A,2026-04-28,10000,0.0025263259939764036,1.8663971406300847e-09,3.7300000190734863,3.75,0.0053476012130600215,3.7585123885761607,3.7671643985758703,3.759437055667989,3.758512542823858,3.767168036897657,2.4597838469264666,-20.521997303932782,-22.976129519635123,0.520926021320716,0.4074245668873702
000002,万科A,2026-04-29,10000,0.0025263259939764036,1.8663971406300847e-09,3.7699999809265137,3.869999885559082,0.02617948106975413,3.86231396612057,3.8579548105684345,3.8619654070574883,3.8623141203682665,3.8579584776512093,-0.9028610825290162,10.386139274154438,11.29001968862342,0.520926021320716,0.4297643512292569
000002,万科A,2026-04-30,10000,0.0025263259939764036,1.8663971406300847e-09,3.859999895095825,3.910000085830689,0.012870239649365203,3.913967012373869,3.907297111062277,3.9139827787838235,3.9139671666215663,3.9073008556706728,0.03988833220169852,17.10112264186936,17.0611662555209,0.520926021320716,0.43058722290339346
000002,万科A,2026-05-06,10000,0.0025263259939764036,1.8663971406300847e-09,3.940000057220459,4.019999980926514,0.020101160053479894,3.979090970409803,3.972782270098091,3.9773422515274937,3.9790911246575003,3.9727849687586843,-4.395157273904271,11.471254559829447,15.873388437599445,0.520926021320716,0.3560822676121817
000002,万科A,2026-05-07,10000,0.0025263259939764036,1.8663971406300847e-09,4.0,3.9800000190734863,-0.005012537031211045,3.9755462458153734,3.9792461882327133,3.9756800750047927,3.9755464026554708,3.9792492840839433,0.33623642081703764,-8.969553863907853,-9.305477400682882,0.5200692834092872,0.3927009252627554
000002,万科A,2026-05-08,10000,0.0025263259939764036,1.8663971406300847e-09,3.9700000286102295,3.990000009536743,0.005025131386227345,3.9882644976466155,3.9853822775684895,3.988822625365549,3.988264651894311,3.985385214144818,1.3990382282513814,8.6250413348532,7.22499230255913,0.520926021320716,0.36923762955800205
000002,万科A,2026-05-11,10000,0.0025263259939764036,1.8663971406300847e-09,3.990000009536743,4.090000152587891,0.02475377407032904,4.074049606796138,4.062444668454166,4.073627773943331,4.0740497610438355,4.062448208723099,-1.0357927007664802,27.519280605785568,28.55803132659096,0.520926021320716,0.4122351081058333
000002,万科A,2026-05-12,10000,0.0025263259939764036,1.8663971406300847e-09,4.059999942779541,4.110000133514404,0.012240101473467267,4.086363678136148,4.0875307193012915,4.086026836345276,4.086363832383845,4.087533951785129,-0.8246843707315765,-3.687101948582905,-2.862653656424685,0.520926021320716,0.4031726442582313
000002,万科A,2026-05-13,10000,0.0025263259939764036,1.8663971406300847e-09,4.090000152587891,4.0,-0.022250646242371802,4.001652922512086,4.002226686384834,4.002409016013417,4.001653076759783,4.002230124787575,1.8890674407168184,0.4469788599470448,-1.4418162119622657,0.520926021320716,0.4124965558646844
000002,万科A,2026-05-14,10000,0.0025263259939764036,1.8663971406300847e-09,4.019999980926514,3.869999885559082,-0.03802742041588802,3.90272735958257,3.901247481259318,3.9040211945264955,3.902727513830267,3.9012506888838483,3.314811735239953,7.10158321930221,3.7855166565603504,0.520926021320716,0.39436306328465204
000002,万科A,2026-05-15,10000,0.0025263259939764036,1.8663971406300847e-09,3.869999885559082,3.7899999618530273,-0.020888468441222687,3.817520596764304,3.8218959555262715,3.818994478866719,3.817520751012002,3.8218983909348214,3.8604318112134273,-7.598088099333156,-11.45409813406606,0.520926021320716,0.3288248688392898
000002,万科A,2026-05-18,10000,0.0025263259939764036,1.8663971406300847e-09,3.7899999618530273,3.6700000762939458,-0.03217432617415086,3.693583387136459,3.6952726510709932,3.6943253850195616,3.6935835426695545,3.6952760010459134,2.008462354883278,-2.5725169813639592,-4.580059448550111,0.5245945405638177,0.40795208636335845
000002,万科A,2026-05-19,10000,0.0025263259939764036,1.8663971406300847e-09,3.680000066757202,3.7100000381469727,0.008119116580163102,3.693719061938199,3.690735465492078,3.693860020269415,3.6937192161858956,3.690738592694526,0.3811986652979549,8.457460468935807,8.075953949351344,0.520926021320716,0.37995525333755664
000002,万科A,2026-05-20,10000,0.0025263259939764036,1.8663971406300847e-09,3.680000066757202,3.609999895095825,-0.019205027035922546,3.6102478445068864,3.616825978925688,3.6106824828161908,3.6102479987545832,3.616829209707046,1.2034742814281962,-16.994794430321704,-18.196078860455156,0.520926021320716,0.3932601718040249
000002,万科A,2026-05-21,10000,0.0025263259939764036,1.8663971406300847e-09,3.609999895095825,3.4800000190734863,-0.03667544401819114,3.561652833765203,3.562039714550575,3.5635980784908465,3.5616529880129004,3.562041701519055,5.461201538983218,4.369339559184837,-1.0912660174333677,0.520926021320716,0.3117673634911006
000002,万科A,2026-05-22,10000,0.0025263259939764036,1.8663971406300847e-09,3.490000009536743,3.4600000381469727,-0.008633138852157517,3.46842978217385,3.472484085212143,3.4679897894325715,3.468429936421548,3.4724871111005196,-1.269009312698799,-12.951298375079023,-11.683771743895566,0.520926021320716,0.36400436311271367
000002,万科A,2026-05-25,10000,0.0025263259939764036,1.8663971406300847e-09,3.4700000286102295,3.490000009536743,0.005747136743136235,3.4757851470600474,3.4808804915389664,3.475444543443959,3.4757853013077455,3.4808837984550394,-0.9803766177907125,-15.626074658092737,-14.647134011070984,0.520926021320716,0.41073904687853435
000002,万科A,2026-05-26,10000,0.0025263259939764036,1.8663971406300847e-09,3.4700000286102295,3.4000000953674316,-0.020379142532430818,3.3978513035892455,3.400061748666648,3.399238270961317,3.397851457836943,3.400064874747828,4.081441291894361,-2.4311412192457027,-6.509925523255911,0.520926021320716,0.3986159168953094
000002,万科A,2026-05-27,10000,0.0025263259939764036,1.8663971406300847e-09,3.380000114440918,3.3299999237060547,-0.01490346227192905,3.314180272524474,3.304589464486298,3.3141670060907686,3.314180425507846,3.3045926311634575,-0.040490906814127925,28.97293553529634,29.013543920579643,0.525386142132398,0.3970951552779868
