date,ac_minus_twap_bps,ac_minus_vwap_bps,twap_minus_vwap_bps,intraday_return
2026-04-28,0.2856378438701457,-7.312341804730282,-7.597405274992863,0.0012511497746869045
2026-04-29,-0.183331980583179,-3.646892563938131,-3.463701457933067,0.015697838016140643
2026-04-30,0.10889268527136675,-1.8961617882111703,-2.005109035054131,-0.004711878974216143
2026-05-06,-0.5130871589895669,5.286791790911183,5.8004820023410675,0.002087804991734257
2026-05-07,0.03367503606332978,-4.525642955910958,-4.559280528880327,-0.005394469488809646
2026-05-08,0.20653995154651383,0.1312211602174651,-0.07547985202749352,-0.0042063196359039875
2026-05-11,-0.31214968433423973,2.60545162072201,2.917619024211615,0.008744299177910085
2026-05-12,-0.037582356799847894,-4.8267249185836025,-4.789196529234818,-0.006780993165661328
2026-05-13,0.1641125534889154,-3.291805911591394,-3.4559899890622687,-0.008278573943089867
2026-05-14,0.5674103815674902,-4.3160439941520865,-4.88560901289914,-0.018077669284047786
2026-05-15,0.5046814433546931,0.5342498214320199,0.02970529815848888,-0.013808208407529526
2026-05-18,0.23559450129762016,-3.2913865412379506,-3.526850241721724,-0.010298517438244482
2026-05-19,0.007220822129450077,-6.870682530185523,-6.878068029521067,0.004026121113726647
2026-05-20,0.14543414109347008,-6.340534789103236,-6.485736658133236,-0.00709987000447041
2026-05-21,0.8190159899768013,1.3305054262043865,0.5093921044985175,-0.008566228032730024
2026-05-22,-0.0324845651302752,-4.376683097893519,-4.34427702980289,-0.010208879218778817
2026-05-25,-0.057803325200445066,-9.971213043907024,-9.913430611724895,0.001909829473407075
2026-05-26,0.5406029197997375,-5.967515001532031,-6.507745591469826,0.001253953660893452
2026-05-27,0.16044341002152684,-8.33284531643508,-8.493975689181532,-0.0007343287157716147
