code,name,date,bucket,start_time,end_time,bars,volume_lot,return,partition
000002,万科A,2026-04-30,15,13:28,13:36,5,21118.2,0.0,equal_time
000002,万科A,2026-04-30,16,13:38,13:46,5,29200.0,0.0,equal_time
000002,万科A,2026-04-30,17,13:48,13:56,5,38619.229999999996,0.0051282113508481575,equal_time
000002,万科A,2026-04-30,18,13:58,14:06,5,25572.239999999998,0.002554277316255313,equal_time
000002,万科A,2026-04-30,19,14:08,14:16,5,17128.760000000002,-0.005102046918878094,equal_time
000002,万科A,2026-04-30,20,14:18,14:26,5,20381.0,0.0,equal_time
000002,万科A,2026-04-30,21,14:28,14:36,5,16824.0,0.0,equal_time
000002,万科A,2026-04-30,22,14:38,14:46,5,37621.94,0.0,equal_time
000002,万科A,2026-04-30,23,14:48,14:56,5,51118.39,0.0,equal_time
000002,万科A,2026-05-06,0,09:30,09:38,5,186992.0,-0.005089064567689183,equal_time
000002,万科A,2026-05-06,1,09:40,09:48,5,101435.99,0.0,equal_time
000002,万科A,2026-05-06,2,09:50,09:58,5,85508.29,0.005089064567689317,equal_time
000002,万科A,2026-05-06,3,10:00,10:08,5,134475.81,0.00506329706666151,equal_time
000002,万科A,2026-05-06,4,10:10,10:18,5,56420.0,0.0,equal_time
000002,万科A,2026-05-06,5,10:20,10:28,5,94960.59,0.007566233103822359,equal_time
000002,万科A,2026-05-06,6,10:30,10:38,5,105395.3,-0.0050377891892164845,equal_time
000002,万科A,2026-05-06,7,10:40,10:48,5,44783.009999999995,0.0,equal_time
000002,万科A,2026-05-06,8,10:50,10:58,5,45673.94,0.0,equal_time
000002,万科A,2026-05-06,9,11:00,11:08,5,36127.56,0.005050510920848728,equal_time
000002,万科A,2026-05-06,10,11:10,11:18,5,29625.0,0.002515722182973634,equal_time
000002,万科A,2026-05-06,11,11:20,11:28,5,76238.16,0.002515722182973634,equal_time
000002,万科A,2026-05-06,12,11:30,13:06,5,1048833.7,0.0,equal_time
000002,万科A,2026-05-06,13,13:08,13:16,5,224407.51,0.0025031278279573515,equal_time
000002,万科A,2026-05-06,14,13:18,13:26,5,76234.8,0.004987536766390722,equal_time
000002,万科A,2026-05-06,15,13:28,13:36,5,119154.69,0.002490599490040648,equal_time
000002,万科A,2026-05-06,16,13:38,13:46,5,60824.8,0.002484530133934085,equal_time
000002,万科A,2026-05-06,17,13:48,13:56,5,32871.0,-0.0024905994900405264,equal_time
000002,万科A,2026-05-06,18,13:58,14:06,5,48510.01,-0.005000065104307433,equal_time
000002,万科A,2026-05-06,19,14:08,14:16,5,41869.0,0.0,equal_time
000002,万科A,2026-05-06,20,14:18,14:26,5,22700.010000000002,0.002496937276350143,equal_time
000002,万科A,2026-05-06,21,14:28,14:36,5,19884.0,0.002496937276350143,equal_time
000002,万科A,2026-05-06,22,14:38,14:46,5,33999.4,0.0,equal_time
000002,万科A,2026-05-06,23,14:48,14:56,5,74775.32,0.004987536766390722,equal_time
000002,万科A,2026-05-07,0,09:30,09:38,5,168259.31,-0.0025031278279573394,equal_time
000002,万科A,2026-05-07,1,09:40,09:48,5,117972.0,-0.0025157221829736026,equal_time
000002,万科A,2026-05-07,2,09:50,09:58,5,66914.0,-0.0050377891892164845,equal_time
000002,万科A,2026-05-07,3,10:00,10:08,5,52782.0,0.002522067006242808,equal_time
000002,万科A,2026-05-07,4,10:10,10:18,5,46825.4,0.005025131386227345,equal_time
000002,万科A,2026-05-07,5,10:20,10:28,5,47683.0,-0.0050377891892164845,equal_time
000002,万科A,2026-05-07,6,10:30,10:38,5,27364.0,-0.0025220670062429144,equal_time
000002,万科A,2026-05-07,7,10:40,10:48,5,87494.42,0.007547198392470162,equal_time
000002,万科A,2026-05-07,8,10:50,10:58,5,64038.04,-0.0025031278279573394,equal_time
000002,万科A,2026-05-07,9,11:00,11:08,5,13781.68,-0.0025094092032537183,equal_time
000002,万科A,2026-05-07,10,11:10,11:18,5,14784.01,0.0,equal_time
000002,万科A,2026-05-07,11,11:20,11:28,5,24758.0,0.0025094092032536793,equal_time
000002,万科A,2026-05-07,12,11:30,13:06,5,758420.4,-0.0025157221829736026,equal_time
000002,万科A,2026-05-07,13,13:08,13:16,5,37138.0,0.0,equal_time
000002,万科A,2026-05-07,14,13:18,13:26,5,23328.0,0.0,equal_time
000002,万科A,2026-05-07,15,13:28,13:36,5,20008.46,0.002515722182973634,equal_time
000002,万科A,2026-05-07,16,13:38,13:46,5,37448.979999999996,0.0,equal_time
000002,万科A,2026-05-07,17,13:48,13:56,5,19523.0,-0.0025157221829736026,equal_time
000002,万科A,2026-05-07,18,13:58,14:06,5,36296.47,0.002515722182973634,equal_time
000002,万科A,2026-05-07,19,14:08,14:16,5,32205.0,-0.0025157221829736026,equal_time
