method,mean_vs_market_vwap_bps,median_vs_market_vwap_bps,std_vs_market_vwap_bps,win_rate_lower_than_vwap
AC,-3.411675498762277,-2.468685464307452,16.526418869439237,0.6210526315789474
TWAP,-3.5509599343579272,-2.5626781808452126,16.35760289631793,0.631578947368421
VWAP,0.013502269606519889,0.006582562742663001,0.01295850594005602,0.0
